n, time
46600,4.301
46700,4.335
46800,4.326
46900,4.346
47000,4.499
47100,4.482
47200,4.442
47300,4.417
47400,4.424
47500,4.434
47600,4.441
47700,4.433
47800,4.459
47900,4.477
48000,4.474
48100,4.483
48200,4.49
48300,4.503
48400,4.53
48500,4.533
48600,4.55
48700,4.57
48800,4.592
48900,4.598
49000,4.603
49100,4.62
49200,4.632
49300,4.644
49400,4.654
49500,4.665
49600,4.689
49700,4.677
49800,4.691
49900,4.722
50000,4.713
